"","거래일자","종목명","종가"
"606",20210104,"미래에셋맵스아시아퍼시픽부동산공모1호",3970
"607",20210104,"미래에셋벤처투자",5640
"608",20210104,"미래에셋생명보험보통주",3815
"609",20210105,"미래엔에듀파트너",1600
"610",20210104,"미래컴퍼니",40450
"611",20210104,"미래테크놀로지",8310
"612",20210104,"미스터블루",11550
"613",20210104,"미원상사보통주",134500
"614",20210104,"미원스페셜티케미칼보통주",106500
"615",20210104,"미원홀딩스 보통주",80900
"616",20210104,"미원화학보통주",61900
"617",20210104,"미창석유공업보통주",66000
"618",20210104,"미코",15200
"619",20210104,"미코바이오메드",10950
"620",20210104,"미투온",6230
"621",20210104,"미투젠",26100
"622",20210104,"민앤지",17950
"623",20210104,"바다로19호선박투자회사",2365
"624",20210104,"바디텍메드",24600
"625",20210104,"바른손",3120
"626",20210104,"바른손이앤에이",1485
"627",20210104,"바이넥스",26200
"628",20210104,"바이브컴퍼니",35650
"629",20210104,"바이오니아",18600
"630",20210104,"바이오로그디바이스",1670
"631",20210104,"바이오리더스",6310
"632",20210104,"바이오솔루션",28750
"633",20210104,"바이오스마트",8000
"634",20210104,"바이오시네틱스",7300
"635",20210104,"바이오인프라생명과학",3000
"636",20210104,"바이오코아",14000
"637",20210104,"바이오톡스텍",14450
"638",20210104,"바이온",1410
"639",20210104,"바이옵트로",5200
"640",20210104,"바텍",23100
"641",20210104,"박셀바이오",217400
"642",20210104,"방림보통주",1900
"643",20210104,"배럴",8750
"644",20210104,"백광산업보통주",3345
"645",20210104,"백금티앤에이",3115
"646",20210104,"백산보통주",5770
"647",20210104,"버킷스튜디오",1875
"648",20210104,"범양건영보통주",4675
"649",20210104,"베노홀딩스",8120
"650",20210104,"베뉴지",1835
"651",20210104,"베셀",3595
"652",20210104,"베스파",13750
"653",20210104,"벽산보통주",2435
"654",20210104,"보광산업",5580
"655",20210104,"보라티알",16350
"656",20210104,"보락보통주",2475
"657",20210104,"보령제약보통주",18500
"658",20210104,"보성파워텍",1965
"659",20210216,"보해양조보통주",1030
"660",20210104,"본느",2410
"661",20210104,"볼빅",4100
"662",20210104,"부-스타",5350
"663",20210104,"부광약품보통주",28950
"664",20210104,"부국증권보통주",20800
"665",20210104,"부국철강 보통주",4280
"666",20210104,"부방",2700
"667",20210104,"부산도시가스보통주",50000
"668",20210104,"부산산업보통주",118000
"669",20210104,"뷰웍스",30450
"670",20210104,"브랜드엑스코퍼레이션",10450
"671",20210108,"브레인콘텐츠",1005
"672",20210104,"브리지텍",3690
"673",20210104,"브릿지바이오테라퓨틱스",15000
"674",20210104,"브이원텍",10800
"675",20210104,"브이티지엠피",8720
"676",20210104,"블루콤",5390
"677",20210104,"비나텍",56300
"678",20210104,"비덴트",8090
"679",20210104,"비디아이",9950
"680",20210104,"비보존 헬스케어",2090
"681",20210104,"비비씨",18600
"682",20210104,"비비안보통주",3760
"683",20210104,"비상교육 보통주",6640
"684",20210104,"비씨월드제약",23100
"685",20210104,"비아트론",11150
"686",20210104,"비에이치",22500
"687",20210104,"비에이치아이",2705
"688",20210104,"비엔디생활건강",1695
"689",20210104,"비엠티",11650
"690",20210104,"비올",2535
"691",20210104,"비즈니스온커뮤니케이션",17400
"692",20210104,"비츠로셀",16800
"693",20210104,"비츠로테크",9530
"694",20210104,"비케이탑스보통주",15700
"695",20210104,"비트컴퓨터",11000
"696",20210104,"비플라이소프트",5220
"697",20210104,"비피도",25050
"698",20210104,"빅솔론",4610
"699",20210104,"빅텍",6820
"700",20210104,"빅토리콘텐츠",6500
"701",20210104,"빅히트엔터테인먼트보통주",158000
"702",20210104,"빙그레보통주",57100
"703",20210104,"빛샘전자",6300
"704",20210222,"뿌리깊은나무들",1050
"705",20210104,"사람인에이치알",26450
"706",20210104,"사조대림보통주",16650
"707",20210115,"사조동아원보통주",1040
"708",20210104,"사조산업보통주",30950
"709",20210104,"사조씨푸드보통주",6070
"710",20210104,"사조오양보통주",9800
